id,TotPop,AgeYoun,SeriCrim,Bdegree,BelowPoverty,Unemplo,PerIncome,Region
1,8863164,32.1,688936,22.3,11.6,8,184230,4
2,5105067,29.2,436936,22.8,11.1,7.2,110928,2
3,2818199,31.3,253526,25.4,12.5,5.7,55003,3
4,2498016,33.5,173821,25.3,8.1,6.1,48931,4
5,2410556,32.6,144524,27.8,5.2,4.8,58818,4
6,2300664,28.3,680966,16.6,19.5,9.5,38658,1
7,2122101,29.2,177593,22.1,8.8,4.9,38287,4
8,2111687,27.4,193978,13.7,16.9,10,36872,2
9,1937094,27.1,244725,18.8,14.2,8.7,34525,3
10,1852810,32.6,214258,26.3,10.4,6.1,38911,3
11,1585577,29.1,109148,15.2,16.1,8,26512,1
12,1507319,30.1,124959,32.8,5,4.6,35843,4
13,1497577,32.6,77009,32.6,5,5.5,37728,4
14,1418380,30.1,83110,14.9,10.3,8,23260,4
15,1412140,26.3,73150,20.1,11,5.5,29776,2
16,1398468,31.7,35825,35.4,4.2,7.3,35398,1
17,1336449,26.2,50186,22.6,8.7,5.3,27639,1
18,1321864,27.9,66723,23,3.3,7,32071,1
19,1287348,25.7,43203,30,2.5,5.1,40782,1
20,1279182,30.8,107338,28.8,8.1,5.3,28331,4
21,1255488,25.3,107386,18.8,7.1,7.4,28066,3
22,1185394,29.5,133098,19.7,16.2,6.7,18383,3
23,1170413,27.9,95494,14.6,8.4,10.7,20114,4
24,1170103,32.2,132495,24,8.2,6.6,22027,3
25,1083592,27.6,50964,30.2,4.4,7.3,29131,2
26,1041219,29.7,84305,23,9.8,6.3,19714,4
27,1032431,31.6,71753,31.6,6.4,4.3,24474,2
28,993529,26.1,42595,29.2,4,5.1,24062,2
29,968532,27.3,55306,20,9.4,6.8,17729,1
30,961437,33.5,82680,26.6,9.1,4.2,18306,2
31,959275,29.3,73681,19.3,12.6,4.9,17680,2
32,874866,26.3,37118,35.3,4.7,5.4,29159,1
33,866228,28,57208,23.7,10.3,4.5,17827,2
34,863518,23.3,76142,22.1,6.2,8.4,23141,3
35,851783,28.3,51926,25.8,6,6.9,21188,1
36,851659,22.4,62344,18.5,6.2,6.2,18404,3
37,836231,30.6,51032,24.6,5.4,2.3,17818,4
38,834054,29.4,89895,20.2,9.5,6,14075,3
39,827645,26.7,44374,34.2,4.5,5.9,26768,1
40,826330,29.4,67032,20.8,14.7,5.4,15229,3
41,825380,25.4,28521,31.7,2.7,5.2,26602,1
42,818584,29.2,30202,49,2.2,3.2,23738,3
43,804219,28.7,52903,24.2,6,7.3,17851,1
44,803732,26.5,51243,31.6,5.5,5.6,20514,4
45,797159,30.6,61004,21.4,9.3,5,15264,2
46,781666,29,29708,36,1.7,4.8,20927,2
47,778206,28.6,75595,24,11.3,7.9,19084,1
48,757027,28.6,34754,49.9,2.7,3.3,22772,3
49,741459,29,52786,13.8,7.5,5.8,13810,4
50,736014,30,87355,15.5,17.8,9.4,12706,3
51,729268,33.7,54469,25.5,3.7,5,14270,3
52,725956,27.8,58610,23.8,7.7,4.5,11179,4
53,723959,32.2,71234,35,9.7,5.6,20656,4
54,717400,28.2,41048,13.5,4,9.4,15011,2
55,713968,29,43780,26.3,7.7,4.4,15451,1
56,709705,29.2,7099,22.2,6.3,10.2,14120,1
57,692134,27.8,46789,25,3.8,5.7,16244,3
58,678111,26.1,20335,32.1,2.2,5,19300,1
59,677491,33.2,52577,21.2,7.8,6.6,12113,3
60,672971,30.7,68586,18.4,9.8,6.6,11886,3
61,671780,31.6,30548,26.5,3.4,5.7,16725,1
62,670080,27.3,34312,25.9,7.5,9,15301,1
63,669016,28.8,30235,23,5,7,14330,4
64,667490,28.3,62004,16.9,16.8,12.6,10923,4
65,666880,28.9,57051,23.3,12,3.9,10131,4
66,664937,27,32419,19.3,10.9,6.3,12727,3
67,663906,39.2,68808,27.7,14.4,8.7,15369,1
68,651525,26.7,55604,19.9,12.7,5.3,12134,3
69,649623,28.4,30473,31.3,4.3,4.2,18721,4
70,648951,31.6,93025,31.6,15.4,5.3,14808,3
71,633232,28.1,61760,20,9.8,6.5,11785,2
72,616087,28.8,14830,34.4,3.1,7.5,16578,1
73,606900,33.6,64393,33.3,13.3,7.7,14325,3
74,599611,28.4,57045,22.6,11.3,6,10638,3
75,596270,29.9,34627,18.3,8.9,9,10653,1
76,591610,29.5,54002,15.2,22.4,10.8,6830,3
77,586203,29.5,41980,17.5,8.7,6.4,9493,4
78,583887,28.4,58216,23.7,8.9,5.1,11219,4
79,576407,38,60961,34.7,10.2,4.8,10571,3
80,573809,28.1,36665,20,9.8,5.7,10564,2
81,553124,25.6,22302,28.4,3.4,5.8,15151,1
82,553099,31.5,40581,19.7,12.4,9,10212,1
83,547651,27.6,18924,24.8,5,5.3,12956,1
84,545837,32.6,56950,32.7,7.2,4.4,11465,3
85,543477,28.3,36318,13.3,13.7,11.8,8631,4
86,541174,26.6,16894,24.8,2.9,6.7,12202,1
87,516418,28.9,22349,32,3.7,4.6,14138,2
88,514990,26.8,26228,19.7,9.5,6,9570,2
89,511433,32,57999,28.3,7.2,4.8,10710,3
90,510784,32.1,45237,24.4,10,4.6,9963,3
91,506325,27.6,22023,15.9,7.4,12.3,9378,1
92,503341,28.2,39496,23.7,10,6.1,9712,3
93,502824,27.5,34814,21,8,6.9,10021,1
94,500631,29.6,31553,20.7,6.9,7.5,9349,2
95,496938,28.3,54238,22.4,27.3,6.1,8238,3
96,493819,26.8,30299,25,5.3,6.9,12962,1
97,485765,31,30574,28.8,8.1,4.3,9862,2
98,480628,27.7,41179,13.2,12,12,7427,4
99,480577,29.2,41280,26.7,10.9,5.2,8419,4
100,475594,25.5,29926,12.8,11.7,7.1,7765,2
101,468973,29.4,23249,24.4,7.1,5.6,9099,1
102,467610,30.3,37466,29,13.1,5.4,10360,4
103,465642,28.1,20323,19.3,4.9,5.6,8635,4
104,462361,27.8,38194,17,12,8.8,8237,2
105,456310,27.8,24247,17.6,10.9,9.6,8703,1
106,453060,28.9,26434,18.7,7.6,8.1,9955,1
107,448306,28.1,41625,18.8,11.4,5.6,7666,3
108,447745,31.7,27582,33,3.8,4.1,9820,3
109,441946,30.6,27717,25.2,5,6.2,9848,1
110,438430,26.9,23453,30.7,4.1,4.1,9206,4
111,435276,27.1,14846,22.2,5.3,10.4,9358,1
112,433203,22.4,17379,15.3,4.3,7.4,9086,1
113,430459,27.2,33136,12.8,14,12.6,7244,2
114,427239,29.6,21826,24.6,3,5,9740,3
115,423380,34.5,26006,35.3,5.5,3.5,8746,3
116,422822,27.2,13086,16.7,5.3,5.3,7982,1
117,421353,26.7,12147,36.7,1.8,5.1,13281,1
118,416444,29,26006,24.9,8.1,2.9,8174,2
119,405382,23.9,37290,12.9,9.4,10.1,6014,3
120,403662,28.5,34071,22.2,8.3,4.5,7781,2
121,398978,26.2,23686,20.4,6.3,7.1,7049,3
122,397014,31.7,25234,25.8,8.1,6.1,6673,4
123,396685,28.7,64103,15.3,20.6,9,7185,2
124,395066,28.8,13034,23.6,3.1,5.6,9090,1
125,393069,35.3,23412,25.5,4.3,5.4,6956,3
126,391511,28.3,27587,35.2,4.4,3.9,8812,4
127,388222,25.8,18556,24.5,5.2,5.7,8562,4
128,383545,26.4,26712,11.5,36.3,17.6,3413,3
129,380105,31.5,41592,27.5,15.1,5.4,6797,3
130,378643,26.7,30409,15.5,17.5,7.2,5448,3
131,376396,27.1,9491,34.7,3,4.6,9309,1
132,370712,24.3,25736,14.8,7.9,6.9,5801,3
133,370522,27.4,25461,13,11.4,14.3,5646,4
134,370321,23.3,7445,15.4,8.6,6.9,6321,1
135,369608,32.8,18313,26.6,7.4,6,8095,4
136,367585,24.9,17466,14.3,8.9,6.9,6211,2
137,367085,35.6,20344,34.2,4.8,3.1,7374,2
138,361364,27,20042,20.6,9.8,6.2,5914,4
139,357313,27.4,16432,18,4.5,7.4,6713,2
140,355660,32.6,17870,21.5,8.5,10.9,6923,4
141,355054,27.5,15238,40.5,2.5,3.3,9287,2
142,352910,32.6,17119,29.6,2.9,4,7009,3
143,349660,28.5,42404,23.5,10.5,5.8,6373,3
144,347420,30.4,28212,24.8,7.3,5.4,7070,3
145,340421,29.7,21756,18.7,6,7,5878,4
146,339574,26.6,11292,13.9,4.3,6.2,6622,1
147,336523,26.1,12827,15.1,5.2,6.7,6614,1
148,336073,30,12843,26.4,4,7.5,7589,1
149,335749,30,22422,23.9,10.2,4.6,5836,3
150,335113,21.5,18442,16.4,6.1,6.4,6326,3
151,328149,24.1,4982,13.1,8.3,8.8,5383,1
152,325824,29.2,20153,29.5,5.3,5.5,8480,1
153,320167,28.2,20504,21,7.8,4.9,5723,3
154,317471,27.8,16721,21.4,5,7.5,6884,2
155,311921,26.3,19489,11.8,18,17.1,4588,4
156,311554,27.6,12630,29.8,4.8,4.4,6210,4
157,307647,28,10975,19.5,6.4,6.7,6088,1
158,304715,24.4,8935,27.1,2.2,4.1,7010,2
159,300836,27.4,19842,19,5.6,5.9,5753,2
160,295039,34.1,28190,22.4,13.8,4.9,4725,3
161,292594,30.4,15077,28.3,6,4.5,6145,1
162,291479,29.9,13850,18.7,7.6,6.6,4882,2
163,291145,27.3,28606,17,17.2,7.7,4403,3
164,291130,26.3,12254,19.6,4.9,6.6,5760,1
165,287529,27.9,17518,26.3,5.3,6.1,5142,3
166,285720,34.7,24101,28,10.1,4.6,4896,3
167,285536,26.3,23532,19.7,10.2,5.9,5209,3
168,282937,39.5,19367,41.9,6.4,6,6446,2
169,282912,27.4,16091,22.2,9.4,6.5,4442,4
170,281912,37.4,17337,29.2,11,6.9,4922,2
171,281131,18.4,12509,9.1,7.9,8.3,3920,3
172,278850,23.1,12855,23.6,4.7,4.2,5561,4
173,277776,18.2,19801,21.9,4.6,5.1,6930,3
174,275572,27.5,9936,16.2,9.5,7.1,4500,1
175,275227,30.6,10953,27.6,3.3,4.7,5814,2
176,274566,37.4,25247,16.6,12.1,6.4,3548,3
177,273525,36.9,20372,32.3,4.5,5.6,4869,3
178,271126,26.4,9864,12.3,9.1,9.5,4340,2
179,265878,29.2,21554,24.1,7.8,4.4,5489,3
180,265475,25.5,7194,33,4.1,5.3,7103,1
181,265038,29.6,19369,13,8.8,5,4271,4
182,264806,23.5,13181,14,12.8,6.7,4305,2
183,264036,29.8,17625,39.1,3.9,5.9,5889,3
184,263590,33.9,10605,26.2,10.6,4.3,3023,4
185,262852,26.8,14563,14.7,13.9,8.4,4256,2
186,262798,29.2,14380,18.2,13.3,5.8,4045,3
187,261229,41.7,25194,16.8,15.1,6.4,4287,3
188,260120,25.9,18842,12,33.7,12.5,2530,3
189,259462,29,9087,24.8,3.6,5.1,5753,1
190,254957,31.2,7807,21.8,4.7,6.8,5165,1
191,254667,29.5,18831,20.7,6.3,5,5431,4
192,254441,29.5,28841,26.4,16.7,6.3,4126,3
193,252913,26.5,19674,16.7,7.7,7.9,4648,2
194,250836,27.7,9234,16.7,8.8,6.7,4133,1
195,249238,26.2,10666,14.4,8.5,7.9,4481,2
196,248253,25.2,22091,18.2,19.1,7.1,4056,3
197,247105,26.9,6452,16.7,4.9,6.8,4531,1
198,247052,28.2,10637,19.2,7.1,5.7,4252,2
199,245845,29,7295,25.9,3.2,8,5352,1
200,243135,29.1,13816,27.6,5.7,5.7,5194,1
201,240279,28.6,8308,38.3,1.4,4.1,7972,1
202,239397,25.8,21677,15.5,15.5,6.7,4170,3
203,238912,31.4,6635,30.1,8.4,5.2,4537,3
204,238053,25.3,10706,16.8,7,6.6,3997,4
205,237813,26.8,11563,18.6,7.2,5.5,4363,1
206,230096,24.7,9460,44,3,4,8638,4
207,230082,28,9746,18.1,4.7,7.1,4262,1
208,229734,29.9,13707,29.7,6.2,8,5060,4
209,228483,25.7,14825,17.5,9.4,5.7,3661,4
210,227813,23.9,7315,11.4,9.4,7.9,3678,2
211,226800,27,17198,14.3,8.8,5.5,3578,3
212,225421,26.8,9433,30.2,6.9,3.8,4125,3
213,225366,34.9,17378,30.6,10.2,3.8,4354,3
214,225339,34.2,14124,42.1,5.6,3.5,4827,4
215,224327,29,25167,16.4,6.4,8.3,5392,1
216,223411,32.4,15306,27.1,8.9,5.9,4086,2
217,222636,34.1,14509,23.4,13.2,5.6,3438,3
218,220756,25.8,9437,13.6,8.6,8.3,3675,1
219,219039,24.3,4368,14.8,7.8,7.9,3716,1
220,217399,26.9,18586,19.3,12.5,7,3858,3
221,217162,31.4,8103,22.9,6.8,5.8,3740,4
222,216935,28.5,18732,18.6,13.6,4.3,3856,3
223,215686,32.3,9001,27.6,2.3,4.3,4431,3
224,215499,26.4,5481,17.5,3.6,5.7,4244,2
225,213641,33.9,16414,27.6,6,2.2,3806,2
226,212907,29,7785,21.2,3.5,6.4,3993,2
227,212160,28.6,7435,20.7,6.5,5.9,3831,1
228,211946,25.5,16190,13,14.7,8.8,3583,2
229,211707,21,16916,15.5,6.8,5.8,3810,3
230,209085,28.4,17388,24.2,14.1,5.9,3653,3
231,207949,31,13551,20.7,9.2,4.8,3458,2
232,207619,23.9,10246,17.6,12.3,7.5,3569,3
233,205775,27.6,9701,24.9,6.2,4.1,3866,4
234,204584,23.7,4526,13.6,9.7,7,3401,1
235,198213,24.3,7518,17.3,9.7,6.5,3056,2
236,195257,28.6,5247,22.9,2.8,4.6,3759,1
237,194833,21.6,14860,11.5,10.8,8.6,2689,3
238,194594,29.6,8101,17.7,6.7,4.6,3598,2
239,192493,38.5,23363,37.1,9.4,3.9,3161,3
240,191707,28.7,8692,15.1,7.7,5.6,3441,3
241,191088,34.6,10865,17.2,12.2,6.7,2587,3
242,189731,27.7,8996,19.8,7.5,5.2,3227,4
243,189719,31.1,17918,17.3,14.8,4.9,3024,3
244,189123,30,16486,16.6,13.9,6.4,2823,3
245,188823,25.1,15139,13.7,15.6,11.6,2903,4
246,187941,26.2,6279,23.5,5.5,4.5,2517,4
247,187768,28.9,6140,18.7,3.8,6.5,3447,2
248,187328,29.8,9057,46.9,2.2,4.1,5160,3
249,186605,22.1,7441,28.1,5.8,11.1,4342,1
250,186136,32.1,8921,32.3,6.6,4.1,3190,4
251,186093,23.6,4088,11.9,10.8,9.7,2822,1
252,183241,26.3,4854,21,2.5,7.1,4005,2
253,182827,26,12483,19.5,11.3,7.2,3353,2
254,182201,25.5,9469,19.4,9.4,5.5,3113,3
255,182132,28.8,6735,21.5,4.1,6.7,3814,3
256,182120,28.2,8939,19.5,12.2,9.4,2741,4
257,182052,32.4,15419,14.7,7.3,5.8,2944,3
258,181835,33.7,15477,33.4,8.7,3.6,3498,3
259,181596,40.1,18218,34.6,14.4,4.2,2916,3
260,181276,28.4,5281,25.2,4.4,5.9,3418,1
261,179278,30.6,11454,16.6,14.9,4.6,2780,3
262,178403,28.2,8587,12,15.4,14.6,2491,4
263,178386,25.8,11929,22.4,7.2,4.8,3497,2
264,175093,27.3,11865,10.8,8.2,6.2,2857,3
265,175034,26,11110,16.5,7.9,6.5,3225,2
266,174821,24.8,9512,19.1,8.2,4.9,2960,3
267,174253,33.9,12194,25.9,7,4.8,2517,3
268,174092,25.4,3593,25,2.4,7,4380,1
269,173025,41.6,11508,34.1,8,4.5,2934,2
270,172796,23.5,8904,22.7,5.3,6.8,3485,4
271,171380,28.5,3128,9,6,8.7,2724,2
272,170936,37.6,12526,52.3,4.3,3.6,5169,3
273,170045,33.9,11776,18.4,12.2,6.5,2606,3
274,168134,26.6,6399,14.7,15.5,7.8,2517,3
275,167611,27.8,9814,21,6.3,4.1,3038,3
276,165365,30,7043,16.3,15.4,6.7,2264,3
277,165304,27.8,4701,21.6,5.6,5.9,3112,1
278,165058,27,8405,16,9.1,5.7,2986,2
279,164762,31.1,10599,22.5,16.2,5,2779,3
280,164587,26.4,6027,19,4.7,6.9,2947,1
281,163029,23,3187,10.8,11.2,9.2,2360,1
282,161993,27.4,18902,10.3,13.9,7.4,2290,2
283,161378,25.2,12229,16.7,11.6,9.1,2619,2
284,161238,25.3,7882,24.7,7.1,5.9,2791,4
285,161135,26.2,7302,20.5,3.7,8.6,3237,1
286,160976,26.2,13845,22.3,7.4,4.7,3148,2
287,158983,25.8,12181,11.1,12.4,12,2348,2
288,158330,26,9191,18,7.8,5.7,2423,4
289,156198,26.8,7573,14.2,5.3,6.4,2619,2
290,154429,29.8,5297,19.5,6.6,6.3,2745,1
291,153411,28.3,11085,20,4.2,5.7,2822,2
292,152585,22.9,2119,8.1,7.7,9.7,2419,1
293,152104,19,7099,12.7,7.9,8.9,2661,3
294,152099,22.4,9426,22.3,6.4,7.5,3892,3
295,152013,27,3420,15.6,7.1,6.8,2622,1
296,151976,28.6,8427,16.9,7,6.1,2572,3
297,151309,26.2,11712,19.8,12.6,6.6,2650,3
298,150522,33.3,12377,20,13.5,5.4,2275,3
299,150208,28.7,4939,22,3.5,6,2997,3
300,150187,28.1,5114,14.5,7.4,6,2438,2
301,150171,22.9,9842,13.1,8.5,13.8,2123,3
302,149967,27.5,12701,17,15.9,4.1,2632,3
303,149838,49.7,7505,13.4,9.8,5.6,1527,3
304,149756,27.1,8630,12.9,9.4,9.9,2359,2
305,149285,26.1,6364,23,5.7,5.6,3087,1
306,148723,24.9,7154,15,10.2,7.5,2650,2
307,147548,25.3,10131,12.2,10.4,6.5,2461,2
308,147036,22.8,7336,13.7,11,10.3,2393,4
309,146601,30,4749,17.7,9.5,8,2275,1
310,146568,38.2,2547,31.9,5.7,7.7,2617,1
311,146389,22.1,7170,17.6,9.7,7.6,2281,4
312,145896,26.5,5365,26.2,3.6,4.6,3017,2
313,145607,25.9,6568,10.7,9.2,11.8,2545,2
314,145351,22.9,3612,9.3,17.6,9.4,2042,1
315,145196,25.5,7525,12.9,8.6,6.6,2063,3
316,144508,24.2,4447,23.1,11.1,6.2,2475,3
317,144053,28.2,12459,16,11.6,7.7,2117,3
318,143776,30.8,5153,21,7.8,6.7,2272,3
319,143596,24.6,6236,15.6,10.4,4.4,2261,3
320,143196,28.4,3409,28.2,2.6,5.8,3456,1
321,142585,33.6,2769,17.6,7.6,6,2286,2
322,142191,28.3,10605,18.9,19.6,6.4,1972,3
323,142031,28.3,6925,17,8.2,5.4,2405,3
324,141895,25.7,5178,14.2,9.9,7.7,2156,1
325,141092,36.5,10650,30.3,9.8,7.2,2783,4
326,140510,28.2,4860,16.7,4.6,4.9,2414,2
327,140320,30.3,6170,18.2,5.3,4.8,2476,2
328,139551,29.1,5724,24.6,7.6,3.8,2084,3
329,139510,26.2,7643,13.3,7.8,9.7,2336,2
330,139352,26,3862,20.9,6.3,10.1,2797,1
331,138053,26.7,9071,10.8,10.2,10.7,2322,1
332,136731,28.5,5221,26,7.1,5.2,2483,2
333,135982,25.1,9810,13.8,11,8.5,2168,2
334,135510,31.4,8850,21.9,20.7,7.4,1542,4
335,133793,33,8376,19.1,8.8,6.8,1973,3
336,133600,26.1,6726,10.5,6.9,11.1,2308,2
337,133239,28.5,12202,11.1,33.1,9.8,1196,3
338,131821,29.6,7901,18.4,10.6,4.5,2093,4
339,131761,35.8,4739,34,5,4.4,2627,1
340,131556,26.8,6101,14.6,18.6,7.1,1923,3
341,131497,28.7,9525,16.9,7.6,5.5,2198,3
342,130943,26.3,3174,24.9,2.5,6.8,3196,1
343,130669,25.5,5373,11.7,10.3,7.5,2093,2
344,130598,42.3,6141,30.7,6.8,3.2,2070,2
345,130542,23.7,3196,10.5,11,9,1929,1
346,129180,37,5949,29,5.9,4.6,2449,2
347,128932,26.4,4014,18.5,4.6,4.5,2265,2
348,128699,33.9,1799,29.2,2.7,5.9,2824,1
349,128300,26.2,1380,13,8.3,6.3,2106,2
350,128181,27.5,6616,12.7,7.6,6.4,2222,2
351,127780,28.8,7070,22,7.4,6.3,2045,4
352,126994,27.7,8634,15.7,11.2,8,1881,3
353,126677,26.9,5662,10,7.3,5.9,1910,3
354,126137,25,7977,11.6,8.4,9.4,2042,2
355,125995,23,5152,20.8,5.8,6.1,2425,4
356,123809,29.7,5625,21.3,5.4,2.5,2294,2
357,123786,45,4136,32.3,6.2,6.1,1916,1
358,123692,23.9,3140,13.6,7.1,7.4,2227,2
359,123372,26.6,3430,19.6,2.5,5.7,2714,3
360,123051,24.1,8640,14,16.7,7,1747,4
361,122378,29.5,10727,16.5,12.5,6.8,2095,3
362,122354,24.5,563,18,4.1,5.8,2312,2
363,121862,49.4,8203,35.8,14.9,3.6,1540,3
364,121771,29.8,3582,12.9,8.1,10,1806,1
365,121082,25.5,3155,12.4,5.7,6.7,1971,1
366,121003,24.5,2777,13.6,10.1,7.2,1836,1
367,120940,26.7,6835,17.2,11,4.9,2165,3
368,120317,22.5,7226,18.5,10.9,4,2013,4
369,120284,29,11892,21.2,9.9,5.9,2059,3
370,120005,27.7,3325,25.4,3.6,7.1,2472,1
371,119659,32.9,1064,16.5,10.3,6.1,1878,2
372,119655,30.7,6785,20.7,11.2,5.9,1917,3
373,119118,27.5,5737,20,12.8,8.8,1922,4
374,118934,27.1,14643,11.4,16.6,6.6,1756,3
375,118791,33.6,4101,17.5,7.3,5.4,1753,2
376,118710,25.4,3826,12.3,8.4,8,1873,1
377,118570,33.1,6072,18.7,7.6,5.4,1838,3
378,118412,27.2,6830,14.2,4.8,6.4,2060,3
379,117206,24.1,6103,14.8,9.8,8.9,2112,2
380,116379,24.4,6275,8.2,18.7,7.9,1326,4
381,116034,28.8,4901,14.2,11.7,7.3,1598,3
382,115904,26.1,4184,18.1,7.3,6.8,1986,1
383,115645,25.3,3760,19.6,3,8.1,2446,2
384,115400,25.9,3655,13.5,5.5,5.9,1882,2
385,115243,25.9,4777,14.4,14,7.1,1553,3
386,114344,26.2,8421,14.8,15.9,5.9,1711,3
387,113744,25.3,2919,11.8,5.2,5.9,1877,1
388,113419,25.6,3879,21.5,9,5.3,1959,4
389,113409,32,6122,20,9.8,3.7,1671,3
390,113269,34.5,3759,21.9,5,6.6,1985,2
391,112560,25.1,6249,23.3,8.9,6.8,1951,4
392,112379,40.9,5456,36.5,9.3,3.2,1930,2
393,111974,31.2,3851,15.1,12.8,9.8,1423,1
394,111723,25.4,4849,11,10.2,9.2,1843,2
395,111486,34.5,5979,18.4,13.3,6.6,1475,3
396,111183,38.3,8537,48.5,4.7,4.6,3524,3
397,110993,29.7,5846,15,8.7,7.6,1659,1
398,110975,16.6,3741,13.4,5.2,7.2,1816,3
399,110943,32.7,3064,13.6,9.5,11,1687,1
400,110765,24.5,5056,22.3,4.6,5.9,2511,4
401,110605,26,5233,11.7,6.8,5.4,1736,3
402,110006,31,3838,29.1,3.7,6.7,2140,1
403,109755,26.2,4734,11.4,10.4,7.3,1816,2
404,109303,25.5,8042,9.7,20.8,21.3,1587,4
405,108978,45.8,1657,32.9,9.5,3.7,1555,2
406,108936,25.1,1699,36.2,2.6,2.8,2798,2
407,108276,23.4,898,8.5,13,6.7,1364,2
408,108213,27.3,4152,14.6,6,4.5,1873,3
409,107924,35.4,4603,21.9,15.5,5.5,1711,3
410,107776,25.6,2068,34.6,1.8,4.1,3261,1
411,107728,27.1,9665,11.2,6.9,6.7,1772,3
412,107714,18.3,3952,17.7,9.8,5.4,1474,4
413,107066,26,6021,11.7,7.8,5.8,1783,2
414,106913,23.8,2982,10.5,8.7,9.6,1723,2
415,106895,27.4,5414,12.7,15.4,17.8,1228,4
416,106611,26.8,7546,26.4,11.5,5.4,2062,3
417,106546,27.1,2940,9.1,6.5,4.8,1568,3
418,106470,29.3,4310,29.5,4.5,3.3,2184,2
419,106107,30.2,3435,18.1,10.7,5,1595,2
420,105986,26.3,4560,17.9,5.4,5.9,1699,3
421,105259,27.9,4020,12.6,8.7,9.7,1700,1
422,105179,26.7,4318,11,20.7,8.9,1141,3
423,104948,26.4,9181,17.7,13.4,8.2,1761,3
424,104666,29.7,4682,12.7,11.9,7.3,1397,3
425,104233,34.8,3651,21.7,5.1,6.5,1791,1
426,103877,25.4,4433,13.8,4.5,5.6,1876,2
427,103461,25.2,625,15.5,6.8,6.3,1691,2
428,103281,25.5,3285,14.4,7,6.8,1706,3
429,102874,34.4,3401,26.5,7.3,2.5,1674,2
430,102637,31.6,7138,15,16.9,9.4,1211,3
431,102583,30.4,2689,25.4,3.5,2.6,1655,2
432,102525,28.5,1397,16.8,6,9.2,1853,1
433,101469,33.7,4449,9,15,12.8,1411,4
434,101461,26.3,2377,13.9,8.4,5.9,1670,2
435,101154,29.9,5279,16.2,3.7,4.9,1954,3
436,101115,16.4,4414,9.7,7.9,8.2,1407,3
437,100900,20.4,5081,20.3,5,9.8,2737,3
438,100498,35.7,6537,16.5,10.8,8,1323,3
439,100374,26.2,7130,17.8,5.7,3.2,1857,4
440,100043,26.3,4693,15.5,9.4,7.1,1647,3
